Material,Total Qty
20052257,1
20052258,1
20052272,4
20052279,3
20052306,2
20052307,10
20052325,1
20052326,1
20052443,1
20052506,3
20052517,2
20052519,2
20052543,2
20052544,1
20052558,3
20052559,2
20052560,3
20052577,1
20052591,5
20052592,1
20052596,5
20052602,2
20052604,2
20052609,1
20052626,1
20052627,2
20052636,1
20052650,3
20052656,1
20052656,5
20052658,1
20052701,2
20052710,3
20052710,1
20052711,6
20052748,2
20052763,1
20052767,4
20052775,8
20052776,38
20052784,2
20052791,20
20052805,2
20052807,10
20052810,76
20052840,12
20052843,2
20052848,5
20052853,5
20052854,3
20052880,3
20052881,8
20052889,6
20052890,48
20052895,4
20052940,1
20052955,173
20052960,2
20052973,1
20053017,1
20053039,10
20053047,205
20053058,3
20053073,1
20053094,1
20053095,2
20053097,2
20053101,1
20053103,2
20053118,1
20053120,1
20053138,1
20053171,1
20053181,2
20053183,4
20053239,4
20053245,1
20053246,2
20053255,2
20053267,1
20053267,6
20053371,2
20053372,1
20053382,1
20053431,6
20053444,1
20053444,2
20053453,4
20053454,3
20053485,1
20053485,1
20053499,1
20053500,1
20053520,1
20053546,2
20053658,5
20053658,3
20053658,3
20053658,5
20053676,2
20053676,2
20053715,1
20053715,1
20053720,1
20053720,1
20053726,1
20053726,1
20053731,2
20053734,1
20053734,1
20053735,2
20053740,2
20053752,2
20053769,2
20053770,3
20053777,3
20053789,1
20053807,1
20053814,1
20053837,11
20053844,1
20053844,1
20053847,2
20053849,1
20053849,1
20053849,6
20053850,2
20053851,3
20053857,1
20053860,1
20053861,2
20053862,3
20053866,2
20053868,1
20053868,2
20053869,25
20053872,2
20053873,1
20053874,1
20053874,1
20053874,6
20053879,4
20053889,2
20053890,3
20053932,1
20053978,5
20053979,1
20053979,6
20053980,9
20053985,4
20053988,1
20053996,1
20053998,3
20053999,2
20054000,2
20054001,6
20054001,10
20054002,1
20054004,4
20054004,2
20054013,1
20054014,2
20054016,1
20054025,8
20054025,1
20054025,2
20054026,1
20054027,4
20054030,1
20054031,1
20054042,1
20054043,8
20054043,1
20054045,1
20054048,4
20054049,3
20054061,1
20054063,1
20054063,1
20054064,3
20054071,1
20054074,2
20054074,2
20054075,1
20054075,1
20054077,1
20054082,3
20054087,8
20054090,2
20054093,1
20054095,1
20054095,24
20054097,2
20054098,2
20054098,1
20054099,3
20054124,1
20054126,1
20054140,1
20054141,1
20054142,1
20054143,1
20054144,2
20054146,2
20054218,4
20054219,4
20054262,3
20054270,11
20054278,1
20054403,19
20054409,4
20054413,1
20054416,1
20054417,3
20054420,2
20054422,1
20054427,1
20054432,1
20054437,1
20054442,1
20054443,1
20054444,1
20054450,2
20054457,2
20054490,3
20054491,3
20054492,3
20054493,3
20054503,38
20054513,7
20054515,2
20054521,4
20054522,2
20054542,28
20054543,46
20054547,6
20054548,2
20054549,2
20054753,2
20054819,2
20054863,4
20054923,1
20054926,1
20054979,1
20055039,1
20055112,5
20055207,20
20055289,1
20055318,1
20055423,6
20055425,6
20055427,6
20055428,6
20055430,6
20055431,6
20055436,2
20055437,2
20055439,2
20055441,10
20055442,26
20055444,3
20055447,139
20055448,4
20055534,1
20055581,13
20055686,14
20055780,2
20055898,2
20056008,5
20056015,3
20056029,2
20056105,1
20056106,3
20056132,1
20056134,1
20056145,3
20056259,1
20056274,3
20056338,1
20056349,1
20056350,19
20056354,5
20056363,1
20056442,1
20056443,2
20056457,1
20056489,3
20056544,1
20056551,1
20056623,2
20056659,4
20056660,1
20056661,1
20056667,32
20056674,1
20056676,1
20056677,1
20056704,12
20056787,2
20056792,2
20056805,242
20056814,1
20056815,1
20056858,1
20056871,1
20056933,1
20056934,1
20056955,1
20057026,2
20057027,2
20057055,1
20057056,1
20057123,4
20057130,1
20057166,4
20057170,1
20057172,1
20057176,76
20057176,"1,648"
20057179,3
20057184,1
20057200,3
20057230,2
20057267,1
20057295,6
20057298,2
20057330,1
20057346,1
20057376,1
20057435,8
20057462,2
20057641,1
20057646,3
20057737,4
20057811,1
20057968,1
20058027,2
20058171,1
20058192,1
20058193,1
20058198,1
20058199,1
20058200,1
20058201,1
20058348,11
20058352,1
20058353,1
20058355,1
20058356,1
20058456,10
20058477,2
20058490,1
20058493,4
20058494,4
20058497,1
20058498,1
20058524,4
20058529,1
20058549,1
20058550,1
20058592,1
20058611,1
20058643,3
20058697,1
20058737,30
20058739,4
20058772,4
20058779,1
20058785,2
20058788,1
20058832,1
20058880,1
20058905,2
20059018,1
20059019,1
20059049,2
20059053,1
20059057,4
20059058,2
20059059,2
20059088,1
20059089,1
20059090,1
20059093,1
20059094,1
20059095,1
20059104,1
20059174,1
20059179,1
20059180,1
20059191,4
20059193,9
20059195,2
20059199,2
20059292,1
20059295,1
20059296,2
20059375,1
20059509,12
20059510,30
20059511,30
20059512,30
20059673,2
20059726,1
20059775,6
20059776,6
20059829,3
20059846,43
20059847,2
20059848,19
20059849,225
20059858,2
20059861,2
20059881,2
20059883,2
20059894,34
20059918,1
20059920,3
20059927,2
20059933,2
20059940,2
20059943,2
20059951,3
20059953,8
20059955,3
20059958,1
20059958,5
20059964,2
20059969,1
20059970,1
20059977,2
20059986,1
20059995,1
20059997,3
20060003,1
20060007,2
20060014,2
20060015,2
20060024,1
20060024,3
20060026,4
20060038,3
20060039,3
20060045,3
20060060,3
20060068,3
20060071,1
20060073,10
20060073,46
20060073,1
20060074,5
20060075,5
20060076,1
20060085,1
20060086,19
20060095,2
20060098,2
20060107,8
20060109,5
20060111,4
20060113,2
20060113,2
20060115,5
20060115,1
20060116,1
20060119,2
20060120,2
20060130,2
20060134,4
20060134,1
20060135,3
20060137,17
20060143,9
20060145,8
20060159,1
20060170,1
20060172,1
20060177,2
20060181,2
20060184,2
20060188,4
20060192,1
20060201,3
20060207,1
20060261,1
20060305,1
20060309,1
20060340,1
20060343,2
20060348,1
20060369,1
20060430,1
20060446,4
20060483,1
20060488,1
20060540,10
20060544,61
20060545,8
20060552,3
20060572,30
20060619,3
20060621,17
20060623,136
20060633,11
20060694,1
20060716,1
20060729,1
20060746,2
20060776,1
20060801,1
20060814,1
20060821,5
20060847,162
20060850,2
20060874,15
20060874,1
20060940,7
20060946,12
20060953,12
20061037,4
20061062,3
20061071,1
20061136,6
20061139,1
20061220,1
20061725,1
20061726,6
20061729,2
20061731,16
20061843,11
20061847,3
20061848,4
20061853,14
20061855,1
20061888,9
20061893,4
20061899,2
20061912,10
20061928,7
20061966,3
20061970,10
20061977,"1,140"
20062056,3
20062463,45
20062465,20
20062705,2
20062707,5
20062738,1
20062939,296
20062939,"1,187"
20062940,68
20062940,682
20063019,2
20063056,1
20063076,1
20063091,5
20063141,2
20063216,4
20063217,4
20063224,1
20063228,1
20063231,14
20063273,2
20063299,1
20063309,20
20063324,1
20063353,4
20063366,4
20063374,11
20063390,4
20063392,1
20063396,2
20063396,2
20063402,4
20063403,1
20063418,8
20063422,7
20063524,3
20063525,4
20063528,11
20063589,17
20063593,30
20063623,4
20063625,4
20063689,1
20063712,4
20063713,4
20063724,1
20063725,1
20063726,1
20063727,1
20063730,1
20063731,1
20063734,50
20063736,50
20063739,1
20063740,4
20063741,4
20063742,4
20063743,4
20063781,2
20063789,10
20063792,2
20063795,3
20063799,1
20063804,1
20063813,2
20063814,10
20063829,1
20063831,12
20063832,3
20063836,33
20063837,113
20063872,2
20063874,6
20063941,1
20063962,11
20063964,5
20063976,1
20063977,1
20063978,1
20063992,1
20064027,28
20064106,1
20064107,7
20064108,7
20064109,4
20064110,4
20064111,4
20064117,3
20064118,2
20064121,3
20064122,3
20064214,15
20064322,10
20064323,2
20064327,2
20064331,1
20064465,6
20064466,1
20064467,1
20064485,103
20064489,19
20064562,1
20064563,1
20064564,1
20064568,2
20064569,1
20064571,1
20064572,1
20064575,13
20064576,9
20064577,1
20064579,1
20064580,5
20064585,1
20064586,1
20064592,4
20064599,5
20064600,10
